"Year","County","Index.Total","Violent.Total","Murder","Rape","Robbery","Aggravated.Assault","Property.Total","Burglary","Larceny","Motor.Vehicle.Theft","Region","Population"
2011,"Chemung",25.6196859957713,1.99064285392955,0.0112465697962122,0.146205407350758,0.31490395429394,1.51828692248864,23.6290431418417,4.57735390705835,18.5905798731387,0.461109361644698,"Non-New York City",88916
2012,"Chemung",27.298624974765,2.48984993607142,0.0448621610102959,0.0224310805051479,0.515914851618402,1.90664184293757,24.8087750386936,4.46378502052444,19.8290751665508,0.515914851618402,"Non-New York City",89162
2013,"Chemung",24.9461634364729,1.7114360194945,0,0.0793380936189505,0.419358494843024,1.21273943103253,23.2347274169784,3.97823869432166,18.950470361555,0.306018361101666,"Non-New York City",88230
2014,"Chemung",24.4844622244638,1.73087724526874,0.0114627632137003,0.126090395350703,0.37827118605211,1.21505290065223,22.7535849791951,3.9317277822992,18.3060328522794,0.515824344616513,"Non-New York City",87239
2015,"Chemung",21.9312904080857,1.83240944555209,0.0230491754157495,0.311163868112618,0.48403268373074,1.01416371829298,20.0988809625336,3.16926161966556,16.468635834553,0.46098350831499,"Non-New York City",86771
2016,"Chemung",24.0862624282313,2.00718853568595,0.0350091023666153,0.32675162208841,0.443448629977127,1.20197918125379,22.0790738925454,3.15081921299538,18.4031181440508,0.52513653549923,"Non-New York City",85692
2017,"Chemung",18.4733274388447,1.68582375478927,0.0471559092248747,0.330091364574123,0.377247273798998,0.931329207191276,16.7875036840554,2.18096080165046,14.2057176539935,0.400825228411435,"Non-New York City",84825
2018,"Chemung",17.1123249199719,1.59461164066498,0.0357002606119025,0.226101650542049,0.297502171765854,1.03530755774517,15.5177132793069,2.35621720038556,12.7687932121904,0.392702866730927,"Non-New York City",84033
2019,"Chemung",19.4594983454031,2.13419020670471,0.0119898326219366,0.227806819816795,0.539542467987147,1.35485108627884,17.3253081386984,2.85358016402091,14.0760634981536,0.395664476523908,"Non-New York City",83404
2020,"Chemung",17.8605380739614,2.04392052476471,0.0237665177298222,0.380264283677156,0.332731248217511,1.30715847514022,15.8166175491967,1.55670691130336,13.4637322939443,0.796178343949045,"Non-New York City",84152
2021,"Chemung",16.1173487866715,1.84715682723651,0.0965833635156344,0.289750090546903,0.229385488349632,1.23143788482434,14.270191959435,1.64191717976579,11.9038995533019,0.724375226367258,"Non-New York City",82830
2022,"Chemung",17.6970500822833,2.06322304914892,0.0122810895782674,0.442119224817626,0.184216343674011,1.42460639107902,15.6338270331344,1.7316336305357,13.3127011028418,0.589492299756834,"Non-New York City",81426
1990,"Chenango",22.755370112811,1.50672229949003,0.038633905115129,0.0579508576726936,0.0193169525575645,1.39082058414465,21.248647813321,5.21557719054242,15.4728789986092,0.560191624169371,"Non-New York City",51768
1991,"Chenango",23.8305214723926,1.85966257668712,0,0.172546012269939,0.0191717791411043,1.66794478527607,21.9708588957055,6.28834355828221,15.1840490797546,0.498466257668712,"Non-New York City",52160
1992,"Chenango",25.1237079918229,2.38818517032537,0.0382109627252059,0.152843850900823,0.114632888175618,2.08249746852372,22.7355228214975,6.17107048012075,15.9339714564108,0.630480884965897,"Non-New York City",52341
1993,"Chenango",22.3588065154514,2.66402801035165,0,0.0380575430050236,0,2.62597046734663,19.6947785050997,5.63251636474349,13.6246003957984,0.437661744557771,"Non-New York City",52552
1994,"Chenango",25.838906991368,3.73482726423903,0,0.05716572343223,0.266773376017074,3.41088816478973,22.1040797271289,6.15484288953677,15.3585243621258,0.590712475466377,"Non-New York City",52479
1995,"Chenango",26.9534022675389,3.24208183858653,0.019183916204654,0.172655245841886,0.115103497227924,2.93513917931206,23.7113204289524,7.00212941469872,16.1144896119094,0.594701402344275,"Non-New York City",52127
1996,"Chenango",27.1143660248198,3.07857047249364,0.0382431114595483,0.0382431114595483,0.0573646671893225,2.94471958238522,24.0357955523261,6.61605828250186,16.8843337093906,0.535403560433677,"Non-New York City",52297
1997,"Chenango",26.1837476209701,2.51840744372032,0,0.0576734529096257,0.0961224215160428,2.36461156929465,23.6653401772497,7.03616125497434,16.1870157833016,0.442163138973797,"Non-New York City",52017
1998,"Chenango",20.9791569450925,2.64426815990045,0.0194431482345621,0.116658889407373,0.0388862964691243,2.46927982578939,18.3348887851921,5.01633224451703,12.832477834811,0.486078705864053,"Non-New York City",51432
1999,"Chenango",22.6572553913349,2.98327028818781,0.0194984986156066,0.136489490309246,0.0584954958468198,2.76878680341614,19.6739851031471,5.45957961236985,13.9024295129275,0.311975977849706,"Non-New York City",51286
2000,"Chenango",22.8405639068463,2.00560791338889,0.0194719214892126,0.136303450424488,0.116831528935275,1.73300101253992,20.8349559934574,4.3422384920944,16.0253913856219,0.467326115741101,"Non-New York City",51356
2001,"Chenango",24.1640415582383,2.54358332191982,0,0.136962178872606,0.117396153319376,2.28922498972784,21.6204582363185,4.96977049052026,16.2984992858401,0.352188459958129,"Non-New York City",51109
2002,"Chenango",25.0561468606581,2.28493311200078,0.0195293428376135,0.175764085538522,0.175764085538522,1.91387559808612,22.7712137486574,4.97998242359145,17.283468411288,0.507762913777951,"Non-New York City",51205
2003,"Chenango",23.8943046718425,2.17928511665013,0,0.369700153717432,0.0194579028272333,1.79012706010546,21.7150195551923,4.66989667853599,16.6948806257662,0.350242250890199,"Non-New York City",51393
2004,"Chenango",21.3657718774977,2.31982377137065,0,0.350897713316568,0.214437491471236,1.75448856658284,19.0459481061271,4.56167027311539,14.0943914848822,0.38988634812952,"Non-New York City",51297
2005,"Chenango",21.5623411658912,2.03307659225085,0,0.254134574031356,0.0586464401610822,1.72029557805841,19.5292645736404,3.8511162372444,15.2676232552684,0.410525081127576,"Non-New York City",51154
2006,"Chenango",21.5601953649472,1.86803136736004,0,0.27242124107334,0.0389173201533342,1.55669280613337,19.6921639975871,4.74791305870678,14.6329123776537,0.311338561226674,"Non-New York City",51391
2007,"Chenango",18.8484930921244,0.91327750034005,0.0582943085323436,0.349765851194062,0.0194314361774479,0.485785904436197,17.9352155917844,4.11946446961895,13.3493966539067,0.466354468258749,"Non-New York City",51463
2008,"Chenango",18.1974048240658,0.798815415189183,0.0389666056189845,0.350699450570861,0.0584499084284768,0.350699450570861,17.3985894088766,3.56544441413708,13.4629622413592,0.370182753380353,"Non-New York City",51326
2009,"Chenango",19.6883824720077,1.04662414344675,0,0.217223878828571,0.138233377436363,0.691166887181816,18.641758328561,4.16674894843895,14.1195521238571,0.355457256264934,"Non-New York City",50639
2010,"Chenango",19.4591812495051,1.0689682476839,0,0.316731332647082,0.0791828331617705,0.67305408187505,18.3902130018212,3.78098028347454,14.2925013856996,0.316731332647082,"Non-New York City",50516
